Year,Enrolling District Number,Enrolling District Type,Enrolling District,Count of Open Enrolled,Resident District Number,Resident District Type,Resident District
23-24,518,1,Worthington Public School District,3,239,1,Rushford-Peterson Public Schools
23-24,518,1,Worthington Public School District,40,241,1,Albert Lea Public School District
23-24,518,1,Worthington Public School District,1,255,1,Pine Island Public School District
23-24,518,1,Worthington Public School District,3,271,1,Bloomington Public School District
23-24,518,1,Worthington Public School District,5,272,1,Eden Prairie Public School District
23-24,518,1,Worthington Public School District,7,277,1,Westonka Public School District
23-24,518,1,Worthington Public School District,1,278,1,Orono Public School District
23-24,518,1,Worthington Public School District,11,279,1,Osseo Public School District
23-24,518,1,Worthington Public School District,17,281,1,Robbinsdale Public School District
23-24,518,1,Worthington Public School District,3,282,1,St. Anthony-New Brighton Schools
23-24,518,1,Worthington Public School District,8,284,1,Wayzata Public School District
23-24,518,1,Worthington Public School District,4,297,1,Spring Grove School District
23-24,518,1,Worthington Public School District,5,330,1,Heron Lake-Okabena School District
23-24,518,1,Worthington Public School District,5,347,1,Willmar Public School District
23-24,518,1,Worthington Public School District,5,381,1,Lake Superior Public School District
23-24,518,1,Worthington Public School District,3,423,1,Hutchinson Public School District
23-24,518,1,Worthington Public School District,5,465,1,Litchfield Public School District
23-24,518,1,Worthington Public School District,91,466,1,Dassel-Cokato Public School District
23-24,518,1,Worthington Public School District,6,477,1,Princeton Public School District
23-24,518,1,Worthington Public School District,12,505,1,Fulda Public School District
23-24,518,1,Worthington Public School District,1,508,1,St. Peter Public School District
23-24,518,1,Worthington Public School District,8,511,1,Adrian Public School District
23-24,518,1,Worthington Public School District,2,514,1,Ellsworth Public School District
23-24,518,1,Worthington Public School District,8,535,1,Rochester Public School District
23-24,518,1,Worthington Public School District,2,544,1,Fergus Falls Public School District
23-24,518,1,Worthington Public School District,1,581,1,Edgerton Public School District
23-24,518,1,Worthington Public School District,3,621,1,Mounds View Public School District
23-24,518,1,Worthington Public School District,3,624,1,White Bear Lake School District
23-24,518,1,Worthington Public School District,4,656,1,Faribault Public School District
23-24,518,1,Worthington Public School District,4,659,1,Northfield Public School District
23-24,518,1,Worthington Public School District,1,716,1,Belle Plaine Public School District
23-24,518,1,Worthington Public School District,5,717,1,Jordan Public School District
23-24,518,1,Worthington Public School District,2,719,1,Prior Lake-Savage Area Schools
23-24,518,1,Worthington Public School District,11,721,1,New Prague Area Schools
23-24,518,1,Worthington Public School District,2,727,1,Big Lake Public School District
23-24,518,1,Worthington Public School District,9,728,1,Elk River Public School District
23-24,518,1,Worthington Public School District,2,738,1,Holdingford Public School District
23-24,518,1,Worthington Public School District,20,742,1,St. Cloud Public School District
23-24,518,1,Worthington Public School District,1,745,1,Albany Public School District
23-24,518,1,Worthington Public School District,11,761,1,Owatonna Public School District
23-24,518,1,Worthington Public School District,4,786,1,Bertha-Hewitt Public School District
23-24,518,1,Worthington Public School District,2,813,1,Lake City Public School District
23-24,518,1,Worthington Public School District,3,831,1,Forest Lake Public School District
23-24,518,1,Worthington Public School District,1,833,1,South Washington County Schools
23-24,518,1,Worthington Public School District,1,834,1,Stillwater Area Public Schools
23-24,518,1,Worthington Public School District,4,857,1,Lewiston-Altura Public School District
23-24,518,1,Worthington Public School District,6,861,1,Winona Area Public School District
23-24,518,1,Worthington Public School District,7,876,1,Annandale Public School District
23-24,518,1,Worthington Public School District,20,877,1,Buffalo-Hanover-Montrose Schools
23-24,518,1,Worthington Public School District,6,879,1,Delano Public School District
23-24,518,1,Worthington Public School District,3,881,1,Maple Lake Public School District
23-24,518,1,Worthington Public School District,10,882,1,Monticello Public School District
23-24,518,1,Worthington Public School District,1,883,1,Rockford Public School District
23-24,518,1,Worthington Public School District,2,885,1,St. Michael-Albertville School District
23-24,518,1,Worthington Public School District,6,912,1,Milaca Public School District
23-24,518,1,Worthington Public School District,1,2071,1,Lake Crystal-Wellcome Memorial
23-24,518,1,Worthington Public School District,3,2134,1,United South Central School District
23-24,518,1,Worthington Public School District,1,2135,1,Maple River School District
23-24,518,1,Worthington Public School District,3,2142,1,St. Louis County School District
23-24,518,1,Worthington Public School District,5,2143,1,Waterville-Elysian-Morristown Public School District
23-24,518,1,Worthington Public School District,2,2144,1,Chisago Lakes School District
23-24,518,1,Worthington Public School District,1,2165,1,Hinckley-Finlayson School District
23-24,518,1,Worthington Public School District,3,2168,1,NRHEG School District
23-24,518,1,Worthington Public School District,3,2169,1,Murray County Central Schools
23-24,518,1,Worthington Public School District,4,2170,1,Staples-Motley School District
23-24,518,1,Worthington Public School District,6,2310,1,Sibley East School District
23-24,518,1,Worthington Public School District,4,2687,1,Howard Lake-Waverly-Winsted
23-24,518,1,Worthington Public School District,7,2752,1,Fairmont Area School District
23-24,518,1,Worthington Public School District,7,2860,1,Blue Earth Area School District
23-24,518,1,Worthington Public School District,6,2886,1,Glenville-Emmons School District
23-24,518,1,Worthington Public School District,5,2895,1,Jackson County Central School District
23-24,518,1,Worthington Public School District,2,2898,1,Westbrook-Walnut Grove Schools
23-24,518,1,Worthington Public School District,1,2902,1,RTR Public Schools
23-24,518,1,Worthington Public School District,31,2907,1,Round Lake-Brewster Public Schools
23-24,518,1,Worthington Public School District,6,2909,1,Rock Ridge Public Schools
23-24,518,1,Worthington Public School District,4,2910,1,Ada-Borup-West Public Schools
23-24,531,1,Byron Public School District,1,99,1,Esko Public School District
23-24,531,1,Byron Public School District,2,203,1,Hayfield Public School District
23-24,531,1,Byron Public School District,62,204,1,Kasson-Mantorville School District
23-24,531,1,Byron Public School District,18,255,1,Pine Island Public School District
23-24,531,1,Byron Public School District,3,492,1,Austin Public School District
23-24,531,1,Byron Public School District,2,500,1,Southland Public School District
23-24,531,1,Byron Public School District,4,534,1,Stewartville Public School District
23-24,531,1,Byron Public School District,385,535,1,Rochester Public School District
23-24,531,1,Byron Public School District,1,811,1,Wabasha-Kellogg Public School District
23-24,531,1,Byron Public School District,12,2125,1,Triton School District
23-24,531,1,Byron Public School District,2,2805,1,Zumbrota-Mazeppa School District
23-24,533,1,Dover-Eyota Public School District,1,204,1,Kasson-Mantorville School District
23-24,533,1,Dover-Eyota Public School District,17,227,1,Chatfield Public Schools
23-24,533,1,Dover-Eyota Public School District,278,535,1,Rochester Public School District
23-24,533,1,Dover-Eyota Public School District,1,857,1,Lewiston-Altura Public School District
23-24,533,1,Dover-Eyota Public School District,23,858,1,St. Charles Public School District
23-24,533,1,Dover-Eyota Public School District,1,861,1,Winona Area Public School District
23-24,533,1,Dover-Eyota Public School District,3,2137,1,Kingsland Public School District
23-24,533,1,Dover-Eyota Public School District,18,2899,1,Plainview-Elgin-Millville
23-24,534,1,Stewartville Public School District,5,203,1,Hayfield Public School District
23-24,534,1,Stewartville Public School District,7,227,1,Chatfield Public Schools
23-24,534,1,Stewartville Public School District,1,255,1,Pine Island Public School District
23-24,534,1,Stewartville Public School District,3,495,1,Grand Meadow Public School District
23-24,534,1,Stewartville Public School District,2,499,1,LeRoy-Ostrander Public Schools
23-24,534,1,Stewartville Public School District,4,500,1,Southland Public School District
23-24,534,1,Stewartville Public School District,1,531,1,Byron Public School District
23-24,534,1,Stewartville Public School District,1,533,1,Dover-Eyota Public School District
23-24,534,1,Stewartville Public School District,304,535,1,Rochester Public School District
23-24,534,1,Stewartville Public School District,63,2137,1,Kingsland Public School District
23-24,535,1,Rochester Public School District,1,77,1,Mankato Public School District
23-24,535,1,Rochester Public School District,1,152,1,Moorhead Area Public School District
23-24,535,1,Rochester Public School District,7,203,1,Hayfield Public School District
23-24,535,1,Rochester Public School District,16,204,1,Kasson-Mantorville School District
23-24,535,1,Rochester Public School District,10,227,1,Chatfield Public Schools
23-24,535,1,Rochester Public School District,2,229,1,Lanesboro Public School District
23-24,535,1,Rochester Public School District,3,238,1,Mabel-Canton Public School District
23-24,535,1,Rochester Public School District,1,241,1,Albert Lea Public School District
23-24,535,1,Rochester Public School District,81,255,1,Pine Island Public School District
23-24,535,1,Rochester Public School District,1,300,1,La Crescent-Hokah School District
23-24,535,1,Rochester Public School District,2,492,1,Austin Public School District
23-24,535,1,Rochester Public School District,1,495,1,Grand Meadow Public School District
23-24,535,1,Rochester Public School District,1,500,1,Southland Public School District
23-24,535,1,Rochester Public School District,43,531,1,Byron Public School District
23-24,535,1,Rochester Public School District,23,533,1,Dover-Eyota Public School District
23-24,535,1,Rochester Public School District,63,534,1,Stewartville Public School District
23-24,535,1,Rochester Public School District,1,719,1,Prior Lake-Savage Area Schools
23-24,535,1,Rochester Public School District,5,813,1,Lake City Public School District
23-24,535,1,Rochester Public School District,1,834,1,Stillwater Area Public Schools
